# Date:     2025-09-16 18:17:56
# Database: ocvs
# Target:   lmc_cepheids
# Query:    TRUE 
# Objects:  4713
# Columns:
# ID	Mode	RA	Decl	I	V	V_I	P_1	dP_1	T0_1	A_1	R21_1	phi21_1	R31_1	phi31_1	ID_OGLE_II	ID_OGLE_III	ID_OGLE_IV	ID_OTHER	REMARKS
OGLE-LMC-CEP-0001	1	04:30:57.72	-69:03:37.4	17.755	18.154	0.399	0.3068181	0.0000004	6000.12792	0.359	0.292	4.676	0.071	2.928	-99.99	LMC156.5.186	LMC546.19.3065	-99.99	
OGLE-LMC-CEP-0002	F	04:31:47.05	-69:49:09.5	15.691	16.420	0.729	3.1181490	0.0000109	6000.34799	0.261	0.295	4.645	0.093	3.004	-99.99	LMC157.6.2009	LMC538.25.57	-99.99	
OGLE-LMC-CEP-0003	1	04:35:05.70	-70:25:26.9	17.846	18.384	0.538	0.3500957	0.0000005	6000.23531	0.322	0.178	4.887	0.088	2.828	-99.99	LMC151.6.310	LMC538.06.389	-99.99	
OGLE-LMC-CEP-0004	1	04:35:20.16	-69:48:07.7	15.123	15.690	0.567	2.2296385	0.0000065	6000.63293	0.245	0.146	4.676	0.000	-99.99	-99.99	LMC157.3.2913	LMC538.23.35	S6724 NSV01678	
OGLE-LMC-CEP-0005	F	04:35:31.52	-69:44:05.8	14.651	15.425	0.774	5.6119491	0.0000135	6004.75854	0.508	0.437	4.946	0.164	3.385	-99.99	LMC157.3.2916	LMC538.23.6237	S6725 NSV01679	
OGLE-LMC-CEP-0006	1	04:35:42.16	-69:43:29.1	14.707	15.366	0.659	3.2947501	0.0000213	6000.96197	0.211	0.105	3.443	0.063	0.285	-99.99	LMC150.6.14	LMC538.23.6238	S6727 NSV01682	
OGLE-LMC-CEP-0007	1	04:36:30.06	-68:37:35.7	16.955	17.561	0.606	0.7090827	0.0000019	6000.23537	0.191	0.174	3.336	0.137	1.076	-99.99	LMC155.3.5189	LMC539.23.124	-99.99	
OGLE-LMC-CEP-0008	12	04:36:33.08	-69:18:43.6	16.337	16.921	0.584	0.9728732	0.0000040	6000.02976	0.237	0.247	4.033	0.048	2.117	-99.99	LMC156.2.5440	LMC538.30.6898	-99.99	
OGLE-LMC-CEP-0009	1	04:36:52.13	-68:03:51.3	15.433	16.130	0.697	2.0243667	0.0000276	6001.86064	0.195	0.175	4.864	0.035	2.907	-99.99	LMC154.3.22	LMC540.07.28	-99.99	
OGLE-LMC-CEP-0010	1	04:36:56.47	-68:14:27.0	14.990	15.572	0.582	2.5655853	0.0000092	6002.26741	0.262	0.068	4.410	0.025	5.761	-99.99	LMC154.1.22	LMC539.31.25	-99.99	
OGLE-LMC-CEP-0011	12	04:37:40.22	-69:57:38.9	16.300	16.923	0.623	1.0199256	0.0000075	6000.27574	0.230	0.154	4.397	0.050	1.926	-99.99	LMC150.7.5166	LMC538.12.7360	-99.99	
OGLE-LMC-CEP-0012	F	04:37:48.74	-67:12:51.9	15.474	16.075	0.601	2.6601839	0.0000023	6001.07578	0.691	0.516	4.388	0.311	2.600	-99.99	LMC153.4.17	LMC540.24.2900	-99.99	
OGLE-LMC-CEP-0013	1	04:37:51.02	-69:17:18.6	15.564	16.130	0.566	1.5985688	0.0000032	6001.38059	0.319	0.228	4.284	0.070	2.562	-99.99	LMC149.7.37	LMC539.06.25	-99.99	
OGLE-LMC-CEP-0014	1	04:38:18.93	-69:53:16.5	14.761	15.392	0.631	3.1356338	0.0000157	6000.24273	0.236	0.115	3.715	0.035	6.099	-99.99	LMC150.7.5155	LMC538.21.6	-99.99	
OGLE-LMC-CEP-0015	1	04:38:32.28	-69:21:09.6	15.514	16.102	0.588	1.6556995	0.0000028	6000.89527	0.294	0.223	4.199	0.056	2.518	-99.99	LMC149.7.6029	LMC538.29.9467	-99.99	
OGLE-LMC-CEP-0017	F	04:38:56.83	-69:41:18.3	15.237	15.899	0.662	3.6772904	0.0000061	6001.21645	0.594	0.481	4.611	0.281	2.998	-99.99	LMC150.6.5206	LMC538.21.7435	-99.99	
OGLE-LMC-CEP-0018	F	04:38:58.98	-68:57:24.8	15.181	15.994	0.813	4.0478369	0.0000185	6002.75795	0.247	0.267	4.667	0.085	3.007	-99.99	LMC148.8.17	LMC539.13.21	-99.99	
OGLE-LMC-CEP-0019	1	04:39:03.27	-68:18:35.2	15.637	16.318	0.681	1.9290799	0.0000066	6000.84092	0.175	0.127	4.824	0.023	4.999	-99.99	LMC154.1.4727	LMC539.30.29	-99.99	
OGLE-LMC-CEP-0020	1	04:39:30.51	-69:13:49.2	14.729	15.338	0.609	3.0111731	0.0000576	6001.96548	0.039	0.000	-99.99	0.000	-99.99	-99.99	LMC149.6.6095	LMC539.05.17	-99.99	
OGLE-LMC-CEP-0021	F	04:39:30.98	-69:15:42.6	14.709	15.494	0.785	5.4579579	0.0000170	6002.24087	0.447	0.423	4.961	0.157	3.602	-99.99	LMC149.7.6013	LMC539.05.11	-99.99	
OGLE-LMC-CEP-0022	1	04:39:52.89	-69:49:55.0	14.527	15.174	0.647	3.4769471	0.0000366	6000.53750	0.084	0.047	3.543	0.000	-99.99	-99.99	LMC150.3.3	LMC538.20.10	-99.99	
OGLE-LMC-CEP-0023	F	04:40:47.48	-68:59:08.4	16.315	17.081	0.766	1.7018187	0.0000034	6000.65340	0.418	0.431	4.338	0.255	2.505	-99.99	LMC149.4.71	LMC539.12.56	-99.99	
OGLE-LMC-CEP-0024	F1	04:40:50.61	-69:44:16.6	14.671	15.394	0.723	5.0930109	0.0000781	6000.53380	0.125	0.091	4.542	0.025	-99.99	-99.99	LMC150.3.7085	LMC538.20.9431	-99.99	
OGLE-LMC-CEP-0025	F	04:40:54.37	-69:06:54.3	15.338	16.131	0.793	3.7334902	0.0000089	6003.70986	0.368	0.401	4.671	0.173	3.108	-99.99	LMC149.3.41	LMC539.04.9894	-99.99	
OGLE-LMC-CEP-0026	F	04:41:12.24	-68:47:59.1	15.497	16.094	0.597	2.5706724	0.0000035	6002.26494	0.619	0.444	4.263	0.226	2.249	-99.99	LMC148.2.16	LMC539.12.8711	-99.99	
OGLE-LMC-CEP-0027	F	04:41:19.48	-67:20:08.1	15.037	15.641	0.604	3.5229124	0.0000050	6001.73458	0.636	0.442	4.389	0.245	2.490	-99.99	LMC146.6.29	LMC540.22.25	HV12711	
OGLE-LMC-CEP-0028	F	04:41:26.93	-69:37:54.3	16.617	17.258	0.641	1.2629537	0.0000009	6000.35235	0.510	0.476	4.160	0.278	2.041	-99.99	LMC150.4.7575	LMC538.19.11290	-99.99	
OGLE-LMC-CEP-0029	1	04:41:35.44	-70:02:42.3	15.424	16.062	0.638	1.9936733	0.0000087	6001.77006	0.266	0.160	4.635	0.023	3.497	-99.99	LMC150.1.5722	LMC538.10.10021	-99.99	
OGLE-LMC-CEP-0030	1	04:41:39.59	-70:05:49.0	17.034	17.640	0.606	0.6035484	0.0000007	6000.03401	0.341	0.219	3.586	0.142	1.087	-99.99	LMC150.1.5799	LMC538.10.239	-99.99	
OGLE-LMC-CEP-0031	1	04:41:44.88	-69:06:55.5	14.450	15.154	0.704	4.3396944	0.0000250	6000.92878	0.254	0.244	4.457	0.101	2.222	-99.99	LMC149.3.7684	LMC539.03.9195	-99.99	
