ID	Type	RA	Decl	I	V	V_I	P	A_1	A_2
OGLE-LMC-ECL-00071	C	04:35:17.18	-69:41:44.8	13.569	14.574	1.005	0.35050780	0.590	0.536
OGLE-LMC-ECL-00151	ELL	04:37:45.81	-69:33:30.1	18.841	18.961	0.120	0.99029200	0.230	0.186
OGLE-LMC-ECL-00159	C	04:37:55.56	-70:35:13.2	17.539	18.741	1.202	21.97065240	0.153	0.151
OGLE-LMC-ECL-00168	ELL	04:38:07.45	-67:54:31.4	15.847	17.203	1.356	204.12353070	0.082	0.038
OGLE-LMC-ECL-00215	ELL	04:39:05.83	-68:37:23.6	18.219	19.271	1.052	69.26734230	0.107	0.099
OGLE-LMC-ECL-00239	C	04:39:31.67	-69:40:51.4	13.894	14.782	0.888	0.35768210	0.644	0.543
OGLE-LMC-ECL-00255	C	04:39:55.23	-69:34:45.5	16.626	16.658	0.032	17.76369750	0.058	0.055
OGLE-LMC-ECL-00303	ELL	04:41:00.25	-68:09:18.0	15.815	17.074	1.259	92.37306120	0.150	0.096
OGLE-LMC-ECL-00400	ELL	04:42:45.45	-69:19:25.0	18.176	19.267	1.091	179.26130000	0.065	0.055
OGLE-LMC-ECL-00458	ELL	04:43:26.37	-67:36:47.2	15.681	17.054	1.373	186.09596330	0.070	0.059
OGLE-LMC-ECL-00460	ELL	04:43:27.06	-67:45:04.0	16.910	16.900	-0.010	5.65919400	0.053	0.052
OGLE-LMC-ECL-00469	ELL	04:43:31.60	-68:18:13.8	17.516	17.474	-0.042	18.71834700	0.136	0.130
OGLE-LMC-ECL-00485	ELL	04:43:39.00	-70:25:25.3	17.587	18.805	1.218	22.37413140	0.105	0.101
OGLE-LMC-ECL-00504	C	04:43:48.66	-68:11:31.5	18.283	18.300	0.017	0.77530340	0.187	0.186
OGLE-LMC-ECL-00531	C	04:44:08.17	-70:38:01.7	18.739	19.433	0.694	0.31813870	0.407	0.360
OGLE-LMC-ECL-00732	ELL	04:46:16.31	-68:38:14.8	17.058	17.244	0.186	3.58541170	0.207	0.166
OGLE-LMC-ECL-00740	ELL	04:46:20.42	-68:31:41.6	18.273	19.353	1.080	12.82562720	0.161	0.129
OGLE-LMC-ECL-00889	ELL	04:47:32.02	-67:03:38.7	18.050	19.164	1.114	33.23966090	0.203	0.156
OGLE-LMC-ECL-01118	ELL	04:49:05.80	-70:03:41.6	17.007	18.148	1.141	172.99168710	0.115	0.115
OGLE-LMC-ECL-01162	ELL	04:49:18.30	-69:13:52.7	17.625	17.614	-0.011	0.57461370	0.126	0.122
OGLE-LMC-ECL-01274	C	04:49:51.94	-67:41:37.6	16.826	16.695	-0.131	0.45980280	0.291	0.291
OGLE-LMC-ECL-01277	ELL	04:49:52.90	-70:28:39.4	18.588	18.727	0.139	0.84829070	0.161	0.108
OGLE-LMC-ECL-01285	ELL	04:49:55.30	-69:50:58.8	16.325	16.307	-0.018	2.65912780	0.140	0.066
OGLE-LMC-ECL-01316	ELL	04:50:05.61	-69:26:34.5	15.915	15.852	-0.063	1.33729760	0.044	0.025
OGLE-LMC-ECL-01499	C	04:50:48.62	-69:25:12.1	15.801	15.702	-0.099	0.70059330	0.052	0.047
OGLE-LMC-ECL-01502	C	04:50:48.89	-66:56:59.1	17.270	17.330	0.060	2.18253370	0.110	0.097
OGLE-LMC-ECL-01507	ELL	04:50:50.81	-69:16:35.7	16.770	16.864	0.094	2.09934070	0.196	0.147
OGLE-LMC-ECL-01572	C	04:51:06.09	-69:35:40.8	17.049	17.029	-0.020	0.70423590	0.505	0.446
OGLE-LMC-ECL-01613	ELL	04:51:16.20	-70:03:33.5	17.375	17.383	0.008	15.94748310	0.119	0.117
OGLE-LMC-ECL-01718	C	04:51:38.67	-69:12:45.7	18.495	19.664	1.169	17.11215930	0.281	0.249
OGLE-LMC-ECL-01745	C	04:51:43.87	-70:41:07.3	18.103	18.206	0.103	1.35237040	0.222	0.198
OGLE-LMC-ECL-01792	C	04:51:55.98	-69:29:04.8	17.329	17.374	0.045	0.69527420	0.326	0.317
OGLE-LMC-ECL-01860	ELL	04:52:13.44	-69:32:33.4	18.020	18.139	0.119	1.64957180	0.104	0.083
OGLE-LMC-ECL-02037	ELL	04:52:48.96	-66:57:11.5	17.750	17.854	0.104	6.39015050	0.062	0.058
OGLE-LMC-ECL-02078	C	04:52:56.15	-69:22:09.5	15.735	15.638	-0.097	1.60059520	0.044	0.041
OGLE-LMC-ECL-02114	ELL	04:53:01.80	-70:13:51.9	17.890	18.988	1.098	22.35366990	0.119	0.108
OGLE-LMC-ECL-02162	C	04:53:08.59	-66:49:27.7	18.792	18.761	-0.031	0.39086740	0.649	0.641
OGLE-LMC-ECL-02252	C	04:53:25.30	-68:52:32.5	14.848	14.724	-0.124	1.61794610	0.185	0.175
OGLE-LMC-ECL-02323	ELL	04:53:40.14	-67:10:38.5	17.007	16.870	-0.137	0.91178470	0.076	0.034
OGLE-LMC-ECL-02359	C	04:53:46.47	-68:21:53.4	17.115	17.135	0.020	0.56196640	0.494	0.482
OGLE-LMC-ECL-02386	ELL	04:53:51.67	-69:11:30.3	17.423	17.492	0.069	4.74753600	0.053	0.047
OGLE-LMC-ECL-02467	ELL	04:54:06.65	-67:49:01.2	17.706	17.701	-0.005	0.96915020	0.143	0.095
OGLE-LMC-ECL-02587	C	04:54:25.61	-69:12:59.6	17.878	17.967	0.089	0.60919050	0.520	0.482
OGLE-LMC-ECL-02658	ELL	04:54:34.99	-69:26:10.1	15.431	15.449	0.018	1.65097650	0.075	0.057
OGLE-LMC-ECL-02689	ELL	04:54:40.06	-71:00:13.4	18.878	19.970	1.092	105.25601990	0.070	0.040
OGLE-LMC-ECL-02697	C	04:54:41.64	-68:46:58.0	16.998	17.069	0.071	1.83213890	0.585	0.566
OGLE-LMC-ECL-02700	ELL	04:54:42.10	-70:22:30.0	18.048	18.014	-0.034	1.44170880	0.075	0.065
OGLE-LMC-ECL-02702	ELL	04:54:42.66	-66:49:26.4	17.259	17.146	-0.113	0.98124610	0.161	0.161
OGLE-LMC-ECL-02711	ELL	04:54:43.88	-66:36:19.1	14.017	13.886	-0.131	5.37402630	0.615	0.361
OGLE-LMC-ECL-02713	ELL	04:54:44.03	-67:30:34.5	17.686	17.913	0.227	7.77796020	0.292	0.155
OGLE-LMC-ECL-02716	ELL	04:54:44.41	-71:19:18.8	18.427	19.377	0.950	12.11025100	0.773	0.350
OGLE-LMC-ECL-02722	ELL	04:54:44.85	-66:47:48.9	16.764	16.643	-0.121	0.93892090	0.795	0.551
OGLE-LMC-ECL-02723	ELL	04:54:44.99	-69:43:51.4	16.066	16.062	-0.004	2.40800020	0.085	0.059
OGLE-LMC-ECL-02729	ELL	04:54:45.99	-66:36:36.4	17.142	17.068	-0.074	1.47750170	0.210	0.102
OGLE-LMC-ECL-02743	ELL	04:54:47.94	-67:19:35.1	16.127	16.026	-0.101	3.21369060	0.110	0.085
OGLE-LMC-ECL-02750	ELL	04:54:48.56	-70:02:16.6	19.877	20.256	0.379	2.91055200	0.591	0.199
OGLE-LMC-ECL-02755	ELL	04:54:49.29	-67:37:53.8	18.102	18.194	0.092	2.41352970	0.489	0.126
OGLE-LMC-ECL-02759	ELL	04:54:50.07	-67:08:10.9	15.756	15.598	-0.158	1.55774510	0.218	0.215
OGLE-LMC-ECL-02764	ELL	04:54:50.45	-67:04:32.2	16.743	17.133	0.390	21.48826030	0.124	0.098
OGLE-LMC-ECL-02768	ELL	04:54:51.07	-69:32:05.3	18.325	18.340	0.015	12.04298630	0.103	0.102
OGLE-LMC-ECL-02771	ELL	04:54:51.50	-69:41:32.3	17.992	19.105	1.113	124.36492070	0.096	0.088
OGLE-LMC-ECL-02776	C	04:54:52.22	-67:08:03.4	17.987	17.917	-0.070	0.52497300	0.718	0.710
OGLE-LMC-ECL-02784	ELL	04:54:53.11	-69:10:05.0	17.435	18.464	1.029	31.12007310	0.052	0.046
OGLE-LMC-ECL-02790	ELL	04:54:53.56	-68:03:17.4	16.531	16.494	-0.037	1.93283180	0.156	0.083
