  EEP          log10_isochrone_age_yr                    initial_mass                       star_mass                        log_Teff                           log_g                           log_L                     [Fe/H]_init              [Fe/H]           Bessell_U           Bessell_B           Bessell_V           Bessell_R           Bessell_I             2MASS_J             2MASS_H            2MASS_Ks           Kepler_Kp          Kepler_D51        Hipparcos_Hp             Tycho_B             Tycho_V       Gaia_G_DR2Rev      Gaia_BP_DR2Rev      Gaia_RP_DR2Rev          Gaia_G_MAW        Gaia_BP_MAWb        Gaia_BP_MAWf         Gaia_RP_MAW                TESS         Gaia_G_EDR3        Gaia_BP_EDR3        Gaia_RP_EDR3               phase
  156         8.1500000000000004E+000         1.0000000000000001E-001         9.9999835929040493E-002         3.4708938225753165E+000         4.9780224646524580E+000        -2.7016559737077701E+000         0.0000000000000000E+000            0.041369           17.302954           16.211195           14.705327           13.202712           11.352217            9.516894            8.862223            8.633279           13.011072           15.445683           14.462452           16.417381           14.963674           12.904372           14.971699           11.648692           12.917277           14.925610           14.967560           11.623537           11.501884           12.936104           14.949114           11.621095           -1.000000
  157         8.1500000000000004E+000         1.0303786906578002E-001         1.0303769996410250E-001         3.4720081756783907E+000         4.9776586123977085E+000        -2.6861358662725210E+000         0.0000000000000000E+000            0.041369           17.223076           16.133675           14.632273           13.142427           11.302292            9.480834            8.826277            8.598008           12.956183           15.370430           14.397086           16.340261           14.889774           12.852303           14.898895           11.599712           12.864400           14.852843           14.894804           11.574646           11.454729           12.883265           14.876303           11.572129           -1.000000
  158         8.1500000000000004E+000         1.0745862459052803E-001         1.0745844809577226E-001         3.4737902812444288E+000         4.9769623763892872E+000        -2.6627420813226030E+000         0.0000000000000000E+000            0.041369           17.100109           16.013882           14.519732           13.049870           11.226448            9.426855            8.772490            8.545235           12.872255           15.254336           14.296543           16.221615           14.775894           12.772847           14.786740           11.525260           12.783674           14.740747           14.782726           11.500333           11.383167           12.802598           14.764129           11.497708           -1.000000
  159         8.1500000000000004E+000         1.1192372856237365E-001         1.1192354450323952E-001         3.4757441474365107E+000         4.9761455386291056E+000        -2.6383844646879950E+000         0.0000000000000000E+000            0.041367           16.970446           15.887449           14.400661           12.952044           11.147150            9.371103            8.716957            8.490710           12.783885           15.131574           14.190196           16.096498           14.655378           12.689344           14.668070           11.447328           12.698803           14.622143           14.664148           11.422552           11.308364           12.717790           14.645430           11.419823           -1.000000
  160         8.1500000000000004E+000         1.1642320060290098E-001         1.1642300882230822E-001         3.4778158217611979E+000         4.9752110767859499E+000        -2.6133169531616742E+000         0.0000000000000000E+000            0.041367           16.837229           15.757352           14.277627           12.850727           11.065730            9.314753            8.660255            8.434942           12.692595           15.004756           14.080142           15.967859           14.530842           12.603177           14.545440           11.367170           12.611213           14.499581           14.541624           11.342553           11.231480           12.630263           14.522758           11.339730           -1.000000
  161         8.1500000000000004E+000         1.2095653116714453E-001         1.2095633150572699E-001         3.4800267397735998E+000         4.9742231408564432E+000        -2.5875197490569408E+000         0.0000000000000000E+000            0.041368           16.699697           15.622849           14.149704           12.745197           10.982100            9.256835            8.602375            8.377928           12.597963           14.872850           13.965453           15.835094           14.401342           12.513951           14.417899           11.284562           12.520512           14.372109           14.414202           11.260112           11.152322           12.539625           14.395155           11.257215           -1.000000
  162         8.1500000000000004E+000         1.2552008869847292E-001         1.2551988100114420E-001         3.4823574266000712E+000         4.9732218069838163E+000        -2.5611236177212713E+000         0.0000000000000000E+000            0.041368           16.558983           15.485920           14.017824           12.636127           10.896855            9.197557            8.543562            8.319915           12.500612           14.737693           13.846856           15.699308           14.267830           12.422214           14.286367           11.200025           12.427272           14.240644           14.282799           11.175746           11.071370           12.446444           14.263539           11.172804           -1.000000
  163         8.1500000000000004E+000         1.3010216389392726E-001         1.3010194802276726E-001         3.4847697366799579E+000         4.9722378553132636E+000        -2.5343531596640521E+000         0.0000000000000000E+000            0.041368           16.417088           15.347897           13.883838           12.524912           10.810926            9.137802            8.484236            8.261326           12.401695           14.599893           13.725937           15.562387           14.132179           12.329009           14.152688           11.114470           12.332565           14.107026           14.149257           11.090364           10.989468           12.351791           14.129755           11.087404           -1.000000
  164         8.1500000000000004E+000         1.3470689616240103E-001         1.3470667197113639E-001         3.4872666206432927E+000         4.9712441150295383E+000        -2.5071548232775762E+000         0.0000000000000000E+000            0.041370           16.273903           15.207584           13.747732           12.411518           10.724176            9.077413            8.424240            8.202001           12.301116           14.459970           13.602674           15.424205           13.994377           12.234228           14.016850           11.027768           12.236288           13.971249           14.013564           11.003840           10.906478           12.255565           13.993793           11.000888           -1.000000
  165         8.1500000000000004E+000         1.3933321287688152E-001         1.3933298021903737E-001         3.4898366952641346E+000         4.9702188083328043E+000        -2.4795561412734144E+000         0.0000000000000000E+000            0.041370           16.129940           15.066198           13.610090           12.296381           10.636760            9.015978            8.363594            8.141903           12.199167           14.318523           13.477579           15.285210           13.855010           12.138118           13.879435           10.940094           12.138695           13.833893           13.876303           10.916344           10.822545           12.158017           13.856243           10.913424           -1.000000
  166         8.1500000000000004E+000         1.4397873902569208E-001         1.4397849775585275E-001         3.4924842511883667E+000         4.9691682890790441E+000        -2.4515546693054904E+000         0.0000000000000000E+000            0.041368           15.985176           14.923723           13.471025           12.179614           10.548626            8.953517            8.302178            8.081041           12.095872           14.175699           13.350782           15.145338           13.714190           12.040690           13.740565           10.851426           12.039798           13.695082           13.737595           10.827854           10.737640           12.059163           13.717226           10.824991           -1.000000
  167         8.1500000000000004E+000         1.4865028742093536E-001         1.4865003737953514E-001         3.4952308742008564E+000         4.9680936529400430E+000        -2.4230411663764091E+000         0.0000000000000000E+000            0.041370           15.838855           14.779423           13.329988           12.060800           10.459339            8.890287            8.239642            8.019176           11.990790           14.030960           13.221826           15.003817           13.571350           11.941526           13.599694           10.761359           11.939170           13.554271           13.596891           10.737967           10.651372           11.958576           13.576200           10.735178           -1.000000
  168         8.1500000000000004E+000         1.5793442567633031E-001         1.5793415882166376E-001         3.4980125082554188E+000         4.9662317303582277E+000        -2.3854729166532680E+000         0.0000000000000000E+000            0.041370           15.671003           14.613579           13.167551           11.919990           10.347946            8.804764            8.154796            7.934669           11.863489           13.864841           13.071014           14.840712           13.407095           11.820020           13.437403           10.649000           11.816244           13.392042           13.434770           10.625783           10.542736           11.835689           13.413754           10.623085           -1.000000
  169         8.1500000000000004E+000         1.6928252684544073E-001         1.6928223939589770E-001         3.5008530563650684E+000         4.9635189888583664E+000        -2.3430416379929633E+000         0.0000000000000000E+000            0.041372           15.491509           14.436108           12.993883           11.767527           10.224705            8.707142            8.057451            7.838078           11.724262           13.687529           12.908646           14.665804           13.231571           11.686488           13.263865           10.524664           11.681326           13.218575           13.261403           10.501620           10.422063           11.700809           13.240070           10.499022           -1.000000
  170         8.1500000000000004E+000         1.8086804060806019E-001         1.8086773188360802E-001         3.5037862079690800E+000         4.9601626026579710E+000        -2.2990030601507874E+000         0.0000000000000000E+000            0.041372           15.307886           14.254446           12.816647           11.611297           10.097473            8.605606            7.956182            7.737645           11.580964           13.506772           12.742543           14.487201           13.052422           11.548827           13.086758           10.396265           11.542295           13.041543           13.084470           10.373394           10.297295           11.561818           13.062826           10.370898           -1.000000
  171         8.1500000000000004E+000         1.9271352192530922E-001         1.9271319118831698E-001         3.5068236645139557E+000         4.9561227441980087E+000        -2.2532141900306799E+000         0.0000000000000000E+000            0.041373           15.119923           14.068360           12.635799           11.451178            9.965885            8.499767            7.850400            7.632812           11.433332           13.322600           12.572627           14.304186           12.869600           11.406745           12.906041           10.263468           11.398866           12.860913           12.903931           10.240768           10.168075           11.418429           12.881989           10.238377           -1.000000
  172         8.1500000000000004E+000         2.0391876181045987E-001         2.0391840998921348E-001         3.5097102484479579E+000         4.9529913237331087E+000        -2.2127338253046545E+000         0.0000000000000000E+000            0.041374           14.953025           13.902576           12.474958           11.308599            9.849428            8.406618            7.757107            7.540439           11.301945           13.159163           12.421230           14.140518           12.706926           11.280326           12.745279           10.145702           11.271258           12.700234           12.743338           10.123158           10.053523           11.290859           12.721122           10.120878           -1.000000
  173         8.1500000000000004E+000         2.1389746090989564E-001         2.1389709007225532E-001         3.5122312550229373E+000         4.9518695314355332E+000        -2.1821872933344508E+000         0.0000000000000000E+000            0.041375           14.822800           13.772505           12.348904           11.197405            9.760484            8.337221            7.687442            7.471582           11.200100           13.031448           12.302718           14.012134           12.579311           11.182617           12.619259           10.055468           11.172575           12.574286           12.617469           10.033052            9.965968           11.192206           12.595015           10.030883           -1.000000
  174         8.1500000000000004E+000         2.2396646881418070E-001         2.2396607857437473E-001         3.5147447052941523E+000         4.9504561914742222E+000        -2.1512044023804728E+000         0.0000000000000000E+000            0.041376           14.693995           13.643659           12.224133           11.086534            9.671208            8.266623            7.616491            7.401445           11.098125           12.905216           12.184844           13.884921           12.453004           11.084560           12.494495            9.964770           11.073611           12.449594           12.492856            9.942478            9.877817           11.093270           12.470169            9.940429           -1.000000
  175         8.1500000000000004E+000         2.3412557731986122E-001         2.3412516728325794E-001         3.5172568002323539E+000         4.9487774912746918E+000        -2.1197869395237379E+000         0.0000000000000000E+000            0.041377           14.566315           13.515728           12.100317           10.975777            9.581520            8.194867            7.544301            7.330077           10.995873           12.780121           12.067359           13.758606           12.327664           10.986045           12.370661            9.873528           10.974245           12.325834           12.369171            9.851355            9.789007           10.993929           12.346258            9.849437           -1.000000
  176         8.1500000000000004E+000         2.4437893334455524E-001         2.4437850309860118E-001         3.5197769636754859E+000         4.9468517004863113E+000        -2.0879074415031353E+000         0.0000000000000000E+000            0.041378           14.439338           13.388280           11.977006           10.864823            9.491255            8.121931            7.470850            7.257462           10.893106           12.655697           11.949898           13.632768           12.202836           10.886861           12.247313            9.781577           10.874258           12.202561           12.245974            9.759517            9.699393           10.893967           12.222836            9.757739           -1.000000
  177         8.1500000000000004E+000         2.5502711206250678E-001         2.5502666069400332E-001         3.5223884191124188E+000         4.9448244407349700E+000        -2.0565785512098480E+000         0.0000000000000000E+000            0.041377           14.314030           13.262194           11.855149           10.755075            9.402565            8.050592            7.398904            7.186390           10.791528           12.532886           11.833643           13.508367           12.079417           10.788848           12.125401            9.691007           10.775460           12.080729           12.124218            9.669061            9.611153           10.795191           12.100849            9.667438           -1.000000
  178         8.1500000000000004E+000         2.6607959641624446E-001         2.6607912299642850E-001         3.5251007442748192E+000         4.9428646008181349E+000        -2.0262664251670586E+000         0.0000000000000000E+000            0.041371           14.191409           13.138420           11.735653           10.647510            9.316566            7.982068            7.329679            7.118083           10.692165           12.412614           11.719543           13.386395           11.958305           10.693056           12.005832            9.602913           10.678896           11.961243           12.004815            9.581081            9.525394           10.698649           11.981208            9.579629           -1.000000
  179         8.1500000000000004E+000         2.7713661515913268E-001         2.7713611941451000E-001         3.5277978772618086E+000         4.9409758697591606E+000        -1.9960789959173828E+000         0.0000000000000000E+000            0.041361           14.071074           13.016621           11.617983           10.541155            9.231428            7.913837            7.260695            7.050025           10.593729           12.294350           11.606885           13.266455           11.839031           10.598060           11.888079            9.515554           10.583168           11.843573           11.887230            9.493833            9.440287           10.602943           11.863384            9.492558           -1.000000
  180         8.1500000000000004E+000         2.8820179341823232E-001         2.8820127506578763E-001         3.5304711472538162E+000         4.9391994497773846E+000        -1.9660864081035769E+000         0.0000000000000000E+000            0.041348           13.953080           12.896862           11.502167           10.436118            9.147284            7.846077            7.192142            6.982403           10.496354           12.178097           11.495763           13.148625           11.721622           10.504007           11.772175            9.429072           10.488420           11.727752           11.771496            9.407457            9.355980           10.508216           11.747413            9.406369           -1.000000
  181         8.1500000000000004E+000         2.9925822118247769E-001         2.9925767996822494E-001         3.5331128946036681E+000         4.9376010461260700E+000        -1.9364117846636217E+000         0.0000000000000000E+000            0.041334           13.837570           12.779310           11.388332           10.332610            9.064380            7.779094            7.124345            6.915542           10.400286           12.063964           11.386369           13.033087           11.606209           10.411164           11.658253            9.343729           10.394910           11.613912           11.657744            9.322218            9.272747           10.414726           11.633424            9.321320           -1.000000
  182         8.1500000000000004E+000         3.0543833219867855E-001         3.0543777800529026E-001         3.5365597767592769E+000         4.9360781862329119E+000        -1.9121822754617257E+000         0.0000000000000000E+000            0.041297           13.724514           12.663097           11.276624           10.234053            8.992815            7.728063            7.072240            6.864685           10.311330           11.952065           11.280279           12.919722           11.492427           10.326369           11.546434            9.268787           10.309264           11.502200           11.546156            9.247408            9.200523           10.329108           11.521519            9.246770           -1.000000
  183         8.1500000000000004E+000         3.1017021700666075E-001         3.1016965275686420E-001         3.5389270862336502E+000         4.9348105092364349E+000        -1.8947146472993726E+000         0.0000000000000000E+000            0.041269           13.645414           12.581627           11.198079           10.164427            8.941819            7.691048            7.034470            6.827796           10.248246           11.873412           11.205540           12.840322           11.412440           10.266125           11.467822            9.215353           10.248444           11.423662           11.467707            9.194064            9.148941           10.268308           11.442847            9.193610           -1.000000
  184         8.1500000000000004E+000         3.1115593919417495E-001         3.1115537275396532E-001         3.5385216194714042E+000         4.9311902657969631E+000        -1.8913571298018372E+000         0.0000000000000000E+000            0.041277           13.642704           12.579897           11.196336           10.161140            8.934927            7.681432            7.024808            6.818007           10.243654           11.871211           11.203085           12.837949           11.410926           10.260977           11.466098            9.208929           10.243409           11.421931           11.465950            9.187622            9.142158           10.263269           11.441137            9.187133           -1.000000
  185         8.1500000000000004E+000         3.1214302060208898E-001         3.1214245196481016E-001         3.5382050657162241E+000         4.9277612628768717E+000        -1.8878333266405052E+000         0.0000000000000000E+000            0.041286           13.638256           12.576314           11.192821           10.156418            8.927330            7.671656            7.014975            6.808079           10.237884           11.867259           11.199006           12.833818           11.407586           10.254761           11.462600            9.201700           10.237284           11.418428           11.462427            9.180379            9.134642           10.257140           11.437652            9.179863           -1.000000
  186         8.1500000000000004E+000         3.1313043621824282E-001         3.1312986538695220E-001         3.5379832037637060E+000         4.9246471659966051E+000        -1.8842452014574542E+000         0.0000000000000000E+000            0.041298           13.632268           12.571045           11.187692           10.150437            8.919258            7.661994            7.005243            6.798285           10.231133           11.861732           11.193470           12.828114           11.402576           10.247684           11.457485            9.193894           10.230274           11.413311           11.457293            9.172562            9.126626           10.250128           11.432545            9.172027           -1.000000
  187         8.1500000000000004E+000         3.1410723934165385E-001         3.1410666634095741E-001         3.5378907954301813E+000         4.9220956475938191E+000        -1.8807164730446377E+000         0.0000000000000000E+000            0.041310           13.624558           12.563828           11.180693           10.143078            8.910894            7.652859            6.996025            6.789049           10.223392           11.854408           11.186281           12.820620           11.395620           10.239784           11.450494            9.185656           10.222406           11.406322           11.450293            9.164316            9.118285           10.242258           11.425559            9.163773           -1.000000
  188         8.1500000000000004E+000         3.1500610409125807E-001         3.1500552902631307E-001         3.5381622408511051E+000         4.9208194152485607E+000        -1.8771150793422930E+000         0.0000000000000000E+000            0.041314           13.611419           12.550564           11.167894           10.131296            8.901130            7.644597            6.987618            6.780751           10.212305           11.841465           11.173903           12.807515           11.382652           10.229003           11.437692            9.175623           10.211563           11.393529           11.437508            9.154294            9.108453           10.231417           11.412751            9.153770           -1.000000
  189         8.1500000000000004E+000         3.1587751257917285E-001         3.1587693553246732E-001         3.5386214566717449E+000         4.9204001098271188E+000        -1.8736573883666083E+000         0.0000000000000000E+000            0.041318           13.595963           12.534630           11.152523           10.117652            8.891087            7.637248            6.980100            6.773408           10.199922           11.826066           11.159267           12.791981           11.367000           10.217168           11.422308            9.165106           10.199617           11.378160           11.422155            9.143794            9.098293           10.219475           11.397356            9.143307           -1.000000
